id,CompanyName,CustomerSpend,IsPro,Password,Rating,Zip,IsAvailable
1,Looon Systems,1081934.14,1,test,4,7003,1
2,Dotster,2515006.16,1,test,4.5,44146,1
3,Yeddscro Systems,3795092.59,1,test,4,45840,1
4,PlurSpace,2902622.09,1,test,4,6516,1
5,Twisauce,1281963.51,1,test,4.5,54701,1
6,Vertbox,1156031.47,1,test,4,55033,1
7,Dotga Collective,1047103.16,1,test,4.5,1845,1
8,livester,1371684.01,1,test,4,32937,1
9,Youbo Labs,1573984.75,1,test,4.5,7501,1
10,xobee,3745308.50,1,test,4,36532,1
11,Rasense Collective,1771696.89,1,test,4,55303,1
12,jala,1886670.03,1,test,4.5,14850,1
13,YouZing,2055253.32,1,test,4,6824,1
14,Rageo,1623121.34,1,test,4.5,7076,1
15,PlurStar,1017759.68,1,test,4,75604,1
16,Mykee Labs,1830332.54,1,test,4,1923,1
17,ibiba,673800.06,1,test,3,68801,1
18,Inifish,504461.26,1,test,3,46322,1
19,BoZing,599466.85,1,test,3,21113,1
20,Jamee,521814.22,1,test,3,60451,1
21,Glifspace,945086.57,1,test,3.5,54401,1
22,Cloudify Systems,903922.70,1,test,3,46901,1
23,Truzing Collective,977680.95,1,test,3,22180,1
24,Vertsauce Labs,790117.18,1,test,3,11720,1
25,trunet,700432.21,1,test,3,8401,1
26,QuirbBee,721669.81,1,test,3,38671,1
27,Rabo Media,628326.77,1,test,3,43612,1
28,cloudzizzl,578283.60,1,test,3,11710,1
29,GlifDoo,517367.15,1,test,3.5,33020,1
30,YouKee,826169.05,1,test,3,23059,1
31,Janet,599132.01,1,test,3,4401,1
32,ILy,526587.72,1,test,3,11756,1
33,bogo,665767.83,1,test,3,11550,1
34,IniSter,652658.52,1,test,3,20901,1
35,Xogo Designs,923989.57,1,test,3,49684,1
36,Loonico Labs,640513.07,1,test,3.5,23059,1
37,Trumo,673800.06,1,test,3,20170,1
38,blingbo,700432.21,1,test,3,27012,1
39,Adkee,799365.61,1,test,3.5,18944,1
40,Rala,761692.83,1,test,3,48237,1
41,kabfish,689284.95,1,test,3,3820,1
42,Bodoo Media,577394.77,1,test,3.5,48348,1
43,loohop,854728.68,1,test,3,17402,1
44,LiveSy,660744.47,1,test,3,14424,1
45,Adkee,520677.79,1,test,3,11784,1
46,Remnit,589372.19,1,test,3,15206,1
47,IniMee,681898.76,1,test,3.5,8050,1
48,Smugbo Systems,535079.88,1,test,3,14120,1
49,progo,329164.18,1,test,3,90278,1
50,Raify,359352.69,1,test,3,34952,1
51,SkoBo,353414.44,1,test,3.5,44122,1
52,scroton,353839.75,1,test,3,34116,1
53,Plurbo,337676.86,1,test,3,8205,1
54,Youhop Labs,297077.98,1,test,3.5,61604,1
55,adly,305892.31,1,test,3,11368,1
56,Fildoodle,487926.26,1,test,3,30180,1
57,ISense,251231.26,1,test,3.5,10451,1
58,Rembox,349506.04,1,test,3,14450,1
59,Vertkee Labs,341985.79,1,test,3,15701,1
60,YoNico,267303.46,1,test,3,50701,1
61,Truyou,264924.60,1,test,3,46530,1
62,Claxla Collective,268014.50,1,test,3,10301,1
63,YeddZizzl,5156.22,1,test,2.5,75115,1
64,dotjing,57522.29,1,test,3,27028,1
65,smugqa,105944.49,1,test,3,32955,1
66,Twistar Labs,9271.57,1,test,2.5,49423,1
67,Prockr Designs,71262.98,1,test,3,35124,1
68,Associate 1,0.00,0,test,4,30144,1
69,Associate 2,0.00,0,test,4,30144,1
70,Associate 3,0.00,0,test,4,30144,1
71,Associate 4,0.00,0,test,4,30144,1
72,Associate 5,0.00,0,test,4,30144,1
73,Associate 6,0.00,0,test,4,30144,1
74,Associate 7,0.00,0,test,4,30144,1
75,Associate 8,0.00,0,test,4,30144,1
76,Associate 9,0.00,0,test,4,30144,1
77,Associate 10,0.00,0,test,4,30144,1
78,Associate 11,0.00,0,test,4,30144,1
79,Associate 12,0.00,0,test,4,30144,1
80,Associate 13,0.00,0,test,4,30144,1
81,Associate 14,0.00,0,test,4,30144,1
82,Associate 15,0.00,0,test,4,30144,1
83,Associate 16,0.00,0,test,4,30144,1
84,Associate 17,0.00,0,test,4,30144,1
85,Associate 18,0.00,0,test,4,30144,1
86,Associate 19,0.00,0,test,4,30144,1
87,Associate 20,0.00,0,test,4,30144,1
88,Associate 21,0.00,0,test,4,30144,1
89,Associate 22,0.00,0,test,4,30144,1
90,Associate 23,0.00,0,test,4,30144,1
91,Associate 24,0.00,0,test,4,30144,1
92,Associate 25,0.00,0,test,4,30144,1
93,Associate 26,0.00,0,test,4,30144,1
94,Associate 27,0.00,0,test,4,30144,1
95,Associate 28,0.00,0,test,4,30144,1
96,Associate 29,0.00,0,test,4,30144,1
97,Associate 30,0.00,0,test,4,30144,1
98,Associate 31,0.00,0,test,4,30144,1
99,Associate 32,0.00,0,test,4,30144,1
100,Associate 33,0.00,0,test,4,30144,1
101,Associate 34,0.00,0,test,4,30144,1
102,Associate 35,0.00,0,test,4,30144,1
103,Associate 36,0.00,0,test,4,30144,1
104,Associate 37,0.00,0,test,4,30144,1
105,Associate 38,0.00,0,test,4,30144,1
106,Associate 39,0.00,0,test,4,30144,1
107,Associate 40,0.00,0,test,4,30144,1
